2019-05-25 09:52:45.696 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ServiceSummaryRepository.
2019-05-25 09:52:45.697 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.TablePropertiesRepository.
2019-05-25 09:52:45.697 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.es.ContactNotesRepository.
2019-05-25 09:52:45.697 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AdTypeRepository.
2019-05-25 09:52:45.698 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ServiceAiRepository.
2019-05-25 09:52:45.698 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.es.QuickReplyRepository.
2019-05-25 09:52:45.698 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.TenantRepository.
2019-05-25 09:52:45.699 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ProcessContentRepository.
2019-05-25 09:52:45.699 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UKefuCallOutFilterRepository.
2019-05-25 09:52:45.699 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UKefuCallOutNamesRepository.
2019-05-25 09:52:45.700 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.CallAgentRepository.
2019-05-25 09:52:45.700 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UKefuCallOutConfigRepository.
2019-05-25 09:52:45.700 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.OnlineUserRepository.
2019-05-25 09:52:45.700 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.CallOutDialplanRepository.
2019-05-25 09:52:45.701 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.DimensionRepository.
2019-05-25 09:52:45.701 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ExtentionRepository.
2019-05-25 09:52:45.701 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.SystemConfigRepository.
2019-05-25 09:52:45.702 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.BlackListRepository.
2019-05-25 09:52:45.702 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.CubeRepository.
2019-05-25 09:52:45.703 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.QualityRepository.
2019-05-25 09:52:45.703 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.CubeMeasureRepository.
2019-05-25 09:52:45.704 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.SystemMessageRepository.
2019-05-25 09:52:45.704 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.BaseRepository.
2019-05-25 09:52:45.704 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.DrilldownRepository.
2019-05-25 09:52:45.705 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.PublishedCubeRepository.
2019-05-25 09:52:45.706 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UserRoleRepository.
2019-05-25 09:52:45.706 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.CallMonitorRepository.
2019-05-25 09:52:45.706 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.KnowledgeTypeRepository.
2019-05-25 09:52:45.707 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UserEventRepository.
2019-05-25 09:52:45.707 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.PublishedReportRepository.
2019-05-25 09:52:45.707 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UserTraceRepository.
2019-05-25 09:52:45.707 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.GenerationRepository.
